SupplierID,SupplierName,ContactPerson,PhoneNumber,Email,Address,LeadTimeDays,CreatedAt,UpdatedAt
1,Mcdaniel Inc,Dana Finley,(649)666-3210,baldwindebra@huang.com,"5539 Randy Coves
Timton, KS 01709",7,2020-05-18 13:24:26,2022-10-31 21:51:06
2,Walker LLC,Jason Tanner DDS,(305)601-1699x93661,bradleyrebecca@hotmail.com,"302 Hall Valley
Port Garrettfort, MD 57722",11,2024-09-17 06:39:16,2024-03-29 05:39:04
3,"Mcdowell, Mcgee and Miller",William Cooper,001-655-486-1652,juliecarlson@hotmail.com,"9664 Victoria Highway Suite 285
West Alisontown, CA 72218",6,2020-10-25 14:52:23,2021-08-23 06:12:02
4,Ingram and Sons,Patrick Todd,(923)638-3153,sbailey@wilkins.com,"30495 Marshall Haven Apt. 011
West Wayne, ME 02992",11,2021-04-23 15:55:09,2022-04-13 22:25:50
5,"Black, Spence and Brown",Brandon Evans,(409)240-9676x978,palvarez@harrison-greene.com,"96488 Kristen Circles Apt. 355
Thomasfurt, KY 76909",7,2024-09-15 18:27:56,2020-02-13 17:25:43
6,Gonzalez LLC,John Alexander,611-618-6128,jsawyer@gmail.com,"79150 Taylor Knoll
East Matthewville, GA 04974",15,2022-12-19 10:51:59,2021-01-13 18:00:19
7,Johnson LLC,Joseph Garcia,+1-893-583-4249x5166,chall@hotmail.com,"686 Randy Pine Suite 581
North Vincentchester, MA 14750",14,2023-02-01 07:48:29,2020-11-12 03:16:17
8,Cook-Bryant,Haley Sandoval,767.737.2458x8424,johnsonjessica@yahoo.com,"2888 Rodney Shoals Suite 508
North Ebony, NE 06620",8,2024-09-25 01:06:58,2022-03-07 16:21:43
9,Lee Inc,Nathaniel Greer,001-727-133-0219x33816,ivargas@hotmail.com,"135 Theresa Via
Carloston, AZ 68418",5,2023-04-17 05:28:53,2024-01-16 16:55:34
10,Mason-Cox,Roy Baldwin,360.813.1720x824,christina16@rodriguez.com,"890 Keller Burg Apt. 418
Stephentown, MO 84786",8,2020-01-30 04:00:55,2023-11-18 15:22:36
11,"Li, Wright and Armstrong",Jennifer Petersen,359-660-1068x0093,kscott@hill-santiago.com,"90346 Bailey Pike
Orrton, FL 44857",13,2024-03-22 15:49:58,2021-09-24 17:45:56
12,"Velasquez, Smith and White",Jeffrey Jones,(984)908-3388x494,chaveztimothy@hotmail.com,"32017 Gonzales Cape Apt. 052
South Paulview, NE 97183",8,2020-12-27 13:27:42,2023-10-27 11:25:16
