UserID,Username,PasswordHash,Role,Email,CreatedAt,UpdatedAt
1,alexandermichael,o#6NBpf0n*,Warehouse Manager,lucas24@johnson.com,2023-08-03 05:31:54,2023-08-18 17:37:03
2,kathryn61,+Q6B7car^v,Admin,cdavis@davis.biz,2024-04-24 08:18:54,2023-03-23 05:45:20
3,odavidson,)N(22VzeuL,Warehouse Manager,rowekelly@hudson.net,2023-12-19 04:49:12,2020-03-26 01:34:52
4,alan09,1DAIybjM&z,Viewer,shelby23@gmail.com,2024-04-06 22:53:14,2023-10-03 00:03:20
5,katrinapalmer,Y+#u1lWzw&,Admin,dallen@yahoo.com,2020-11-02 01:03:09,2020-04-09 14:58:13
6,dlopez,BV7O6XOx+s,Viewer,martinezalex@ayala-moore.com,2020-05-07 10:40:04,2024-05-22 08:11:51
7,mitchell96,qI(W(C0f^0,Admin,martin24@franklin.com,2020-03-12 18:23:51,2023-03-24 11:59:12
8,qbrown,!($#F7BvP8,Sales,randallcarey@cantu-smith.net,2024-02-12 01:43:15,2020-11-10 21:10:23
9,john81,hX#8+dZxhv,Warehouse Manager,mccarthyjanet@hayes.com,2024-05-23 10:38:40,2023-10-10 11:15:08
10,harrisbrandon,+!j3qsOkJ6,Warehouse Manager,johnsonwilliam@hotmail.com,2021-02-27 12:03:52,2024-07-31 00:47:46
11,jonesjames,+9LWd5YfO8,Viewer,codysmith@blackwell.com,2022-03-17 23:11:04,2022-02-06 07:55:53
12,jeremyhayden,%iAo4YjkXg,Viewer,fkemp@reese.com,2023-03-03 01:06:54,2023-07-31 00:00:35
13,beckertamara,#2DnXaFm5D,Sales,sarah34@yahoo.com,2020-12-21 22:37:39,2022-12-15 16:42:21
14,sandersmichael,5t8(NgXyO+,Viewer,cervantesmorgan@rose.com,2022-12-27 02:12:11,2024-09-10 17:43:24
15,zpark,P9Q$Dves#F,Admin,bvega@yahoo.com,2020-04-20 17:07:57,2020-03-20 03:13:50
16,kristenwarren,9MDr*Y0u)t,Warehouse Manager,alexishill@yahoo.com,2022-10-31 08:02:31,2024-07-29 12:42:36
17,thayes,*SKrJnpw95,Sales,walkerjack@gmail.com,2020-03-13 23:16:24,2024-03-20 00:43:49
18,wmullins,ju^8Ukwbqq,Admin,nicholas54@gmail.com,2024-02-17 00:04:20,2020-02-19 16:41:29
